sample	city	pop	site	range
Albuquerque_1_9	Albuquerque	1	urban	Introduced
Albuquerque_1_13	Albuquerque	1	urban	Introduced
Albuquerque_1_10	Albuquerque	1	urban	Introduced
Albuquerque_1_19	Albuquerque	1	urban	Introduced
Albuquerque_1_3	Albuquerque	1	urban	Introduced
Albuquerque_1_4	Albuquerque	1	urban	Introduced
Albuquerque_1_5	Albuquerque	1	urban	Introduced
Albuquerque_1_7	Albuquerque	1	urban	Introduced
Albuquerque_1_8	Albuquerque	1	urban	Introduced
Albuquerque_2_15	Albuquerque	2	urban	Introduced
Albuquerque_2_7	Albuquerque	2	urban	Introduced
Albuquerque_2_1	Albuquerque	2	urban	Introduced
Albuquerque_2_12	Albuquerque	2	urban	Introduced
Albuquerque_2_13	Albuquerque	2	urban	Introduced
Albuquerque_2_14	Albuquerque	2	urban	Introduced
Albuquerque_2_19	Albuquerque	2	urban	Introduced
Albuquerque_2_3	Albuquerque	2	urban	Introduced
Albuquerque_2_6	Albuquerque	2	urban	Introduced
Albuquerque_2_8	Albuquerque	2	urban	Introduced
Albuquerque_3_1	Albuquerque	3	urban	Introduced
Albuquerque_3_8	Albuquerque	3	urban	Introduced
Albuquerque_3_10	Albuquerque	3	urban	Introduced
Albuquerque_3_12	Albuquerque	3	urban	Introduced
Albuquerque_3_14	Albuquerque	3	urban	Introduced
Albuquerque_3_16	Albuquerque	3	urban	Introduced
Albuquerque_3_7	Albuquerque	3	urban	Introduced
Albuquerque_3_9	Albuquerque	3	urban	Introduced
Albuquerque_14_7	Albuquerque	14	urban	Introduced
Albuquerque_14_18	Albuquerque	14	urban	Introduced
Albuquerque_14_1	Albuquerque	14	urban	Introduced
Albuquerque_14_10	Albuquerque	14	urban	Introduced
Albuquerque_14_14	Albuquerque	14	urban	Introduced
Albuquerque_14_17	Albuquerque	14	urban	Introduced
Albuquerque_14_3	Albuquerque	14	urban	Introduced
Albuquerque_14_4	Albuquerque	14	urban	Introduced
Albuquerque_14_5	Albuquerque	14	urban	Introduced
Albuquerque_14_8	Albuquerque	14	urban	Introduced
Albuquerque_15_4	Albuquerque	15	urban	Introduced
Albuquerque_15_10	Albuquerque	15	urban	Introduced
Albuquerque_15_1	Albuquerque	15	urban	Introduced
Albuquerque_15_11	Albuquerque	15	urban	Introduced
Albuquerque_15_2	Albuquerque	15	urban	Introduced
